Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Gender,Exam_Score,Previous_Scores
23,84,Low,High,No,7,Low,Yes,0,Low,Public,Positive,3,No,Male,67,73
19,64,Low,Medium,No,8,Low,Yes,2,Medium,Public,Negative,4,No,Female,61,59
24,98,Medium,Medium,Yes,7,Medium,Yes,2,Medium,Public,Neutral,4,No,Male,74,91
29,89,Low,Medium,Yes,8,Medium,Yes,1,Medium,Public,Negative,4,No,Male,71,98
19,92,Medium,Medium,Yes,6,Medium,Yes,3,Medium,Public,Neutral,4,No,Female,70,65
19,88,Medium,Medium,Yes,8,Medium,Yes,3,Medium,Public,Positive,3,No,Male,71,89
29,84,Medium,Low,Yes,7,Low,Yes,1,Low,Private,Neutral,2,No,Male,67,68
25,78,Low,High,Yes,6,Medium,Yes,1,High,Public,Negative,2,No,Male,66,50
17,94,Medium,High,No,6,High,Yes,0,Medium,Private,Neutral,1,No,Male,69,80
23,98,Medium,Medium,Yes,8,Medium,Yes,0,High,Public,Positive,5,No,Male,72,71
17,80,Low,High,No,8,Medium,No,4,Medium,Private,Neutral,4,No,Male,68,88
17,97,Medium,High,Yes,6,Low,Yes,2,Low,Private,Neutral,2,No,Male,71,87
21,83,Medium,Medium,Yes,8,Low,Yes,2,Medium,Public,Positive,4,No,Male,70,97
9,82,Medium,Medium,Yes,8,Medium,Yes,2,Medium,Private,Positive,3,No,Male,66,72
10,78,Medium,High,Yes,8,Medium,Yes,1,Low,Private,Neutral,4,No,Male,65,74
17,68,Medium,Medium,No,8,Medium,Yes,2,Medium,Private,Positive,4,No,Female,64,70
14,60,Medium,Low,Yes,10,Low,Yes,0,High,Private,Positive,3,No,Male,60,65
22,70,Low,Medium,Yes,6,Medium,Yes,1,Low,Public,Neutral,3,No,Female,65,82
15,80,Medium,Medium,Yes,9,Low,Yes,3,Low,Public,Positive,2,No,Female,67,91
12,75,Medium,High,Yes,7,Medium,Yes,3,Medium,Private,Positive,4,No,Male,66,58
29,78,Medium,Medium,No,5,High,Yes,0,High,Public,Negative,1,No,Female,69,99
19,99,Medium,High,No,6,Medium,Yes,1,Medium,Public,Neutral,3,No,Male,72,84
20,74,Medium,High,No,8,Low,Yes,1,Medium,Public,Negative,2,No,Female,66,89
11,78,High,Medium,Yes,8,High,Yes,1,Low,Public,Neutral,3,No,Male,66,100
